employee no,Line Manager,HOD/GM
5342,4997,
1964,4997,
5344,4997,10008
8,4997,
4997,10002,
3259,4430,4997
1531,4430,4997
4430,4997,
5354,4430,4997
3350,8,4997
4882,4406,4430
4532,1531,4430
867,10076,4997
5092,4430,4997
5324,4430,4997
4406,4430,4997
5269,5354,4430
1795,4997,
5310,4997,
4167,5342,4997
1166,5342,4997
2305,5342,4997
5117,5354,4430
5111,5342,4997
4455,5342,4997
180,10076,4997
5405,1531,4430
1860,5354,4430
5404,4406,4430
235,4406,4430
2855,5354,4430
5413,5354,4430
5416,8,4997
5414,5354,4430
1406,5342,4997
4554,5342,4997
4952,5354,4430
5257,4406,4430
5314,1531,4430
5077,4997,
1800,1964,4997
4890,1531,4430
4569,1964,4997
442,5179,4997
5178,1964,4997
5260,1964,4997
5116,1964,4997
5143,4997,
2648,5143,4997
6847,5143,4997
491,5344,4997
5411,5344,4997
1526,5344,4997
5332,5342,4997
4802,10040,4997
589,8,4997
486,5344,4997
4470,5342,4997
508,5342,4997
5152,4997,
773,4997,
5336,1531,4430
5266,4406,4430
40,10076,4997
5172,5342,4997
5335,5354,4430
5340,5354,4430
5339,1531,4430
2657,1531,4430
5179,4997,
5391,4406,4430
5096,8,4997
5333,5354,4430
4918,5344,4997
5328,4430,4997
5337,5354,4430
2542,4406,4430
5104,4997,
5181,1964,4997
4982,4406,4430
5312,5354,4430
5309,5143,4997
5348,5354,4430
5357,1531,4430
5358,4406,4430
5360,5077,4997
5351,5342,4997
5369,10076,4997
5394,10076,4997
5379,5354,4430
5363,5354,4430
5367,1531,4430
5368,1531,4430
5370,5077,4997
5364,5354,4430
5362,4997,
5372,5354,4430
5381,5310,4430
5382,1531,4430
5392,5354,4430
5393,5354,4430
5397,1531,4430
5377,5342,4997
5385,5342,4997
4509,5342,4997
5386,5342,4997
5365,5344,4997
5371,5354,4430
5374,5354,4430
5375,4430,4997
5402,1531,4430
5412,5143,4997
5408,5143,4997
132,5354,4430
139,5354,4430
144,5354,4430
214,5354,4430
962,1531,4430
1012,1531,4430
1259,5354,4430
1420,4406,4430
1725,4406,4430
2118,4406,4430
2308,1531,4430
2422,5354,4430
2437,5354,4430
2459,1531,4430
2870,5354,4430
2872,5354,4430
3445,4406,4430
3453,5354,4430
3494,5354,4430
3867,4406,4430
4168,4406,4430
4710,4406,4430
4713,5354,4430
5117,5354,4430
5256,5354,4430
5401,5354,4430
6094,4406,4430
6184,4406,4430
6480,4406,4430
5207,5179,4997
6539,5354,4430
1007,5354,4430
516,5380,4997
5214,5380,4997
414,5380,4997
2466,5380,4997
5226,5380,4997
3260,5380,4997
5053,5380,4997
5389,5380,4997
5403,5380,4997
5380,4997,
